"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"type_en"
"Geuzenhoed: Praktijk voor Fysiotherapie A.H. Gerardhuis";"geuzenhoed_praktijk_voor_fysiotherapie_a_h_gerardhuis";1;286;;"0000-00-00 00:00:00";"Nolensstraat 358 B";"1067 KP";;"POINT(4.8008736536551 52.378466300372)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:32";"2016-09-08 17:43:32";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Floraparkbad nu: Noorderbad";"floraparkbad_nu_noorderbad";1;286;;"0000-00-00 00:00:00";"Sneeuwbalweg 5 ";"1032 VS";;"POINT(4.9173729692553 52.398614902076)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:33";"2016-09-08 17:43:33";"0000-00-00 00:00:00";"Zwembaden";"Swimming pools"
"Gashouder";"gashouder";1;286;;"0000-00-00 00:00:00";"Klonne plein 1 ";"1014 DD";;"POINT(4.869842935668 52.387119324786)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:33";"2016-09-08 17:43:33";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Gezondheidscentrum Banne Buiksloot";"gezondheidscentrum_banne_buiksloot";1;286;;"0000-00-00 00:00:00";"Parlevinker 7 ";"1034 PX";;"POINT(4.9228533637834 52.411246160089)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:33";"2016-09-08 17:43:33";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Gezondheidscentrum Klein Gooioord";"gezondheidscentrum_klein_gooioord";1;286;;"0000-00-00 00:00:00";"Bijlmerdreef 1001 ";"1103 TW";;"POINT(4.9702613909801 52.321168210749)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:34";"2016-09-08 17:43:34";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Gezondheidscentrum Gein";"gezondheidscentrum_gein";1;286;;"0000-00-00 00:00:00";"Wisseloordplein 50 ";"1106 MH";;"POINT(4.9881626588916 52.297511212888)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:34";"2016-09-08 17:43:34";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Gezondheidscentrum Venserpolder";"gezondheidscentrum_venserpolder";1;286;;"0000-00-00 00:00:00";"Alfred Döblinstraat 54 ";"1102 VL";;"POINT(4.9427201579036 52.319297357815)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:34";"2016-09-08 17:43:34";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Gezondheidscentrum Zeeburg";"gezondheidscentrum_zeeburg";1;286;;"0000-00-00 00:00:00";"C. van Eesterenlaan 313 ";"1019 KT";;"POINT(4.9385961815813 52.37038604326)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:34";"2016-09-08 17:43:34";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Westerpark Computers";"westerpark_computers";1;286;;"0000-00-00 00:00:00";"Spaarndammerstraat 636 ";"1013 TH";;"POINT(4.8791697593416 52.389757143147)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:35";"2016-09-08 17:43:35";"0000-00-00 00:00:00";"Winkels";"Stores"
"Groepspraktijk Hofmijster";"groepspraktijk_hofmijster";1;286;;"0000-00-00 00:00:00";"Surinameplein 5 ";"1058 GL";;"POINT(4.8532440643928 52.357844502611)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:35";"2016-09-08 17:43:35";"0000-00-00 00:00:00";"Fysiotherapeuten";"Physiotherapists"
"Groot Melkhuis";"groot_melkhuis";1;286;;"0000-00-00 00:00:00";"Vondelpark 2 ";"1071 AA";;"POINT(4.8710612517119 52.359433472097)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:35";"2016-09-08 17:43:35";"0000-00-00 00:00:00";"Congres- en partyaccommodaties";"Conference and party accommodations"
"Hans Anders Middenweg";"hans_anders_middenweg";1;286;;"0000-00-00 00:00:00";"Middenweg 26 ";"1097 BN";;"POINT(4.9291264910845 52.35462129939)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:36";"2016-09-08 17:43:36";"0000-00-00 00:00:00";"Winkels";"Stores"
"Olivier Termijtelen Energietherapie";"olivier_termijtelen_energietherapie";1;286;;"0000-00-00 00:00:00";"Cas Oorthuyskade 158 ";"1087 BB";;"POINT(4.9897406417842 52.360394722974)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:36";"2016-09-08 17:43:36";"0000-00-00 00:00:00";"Klinieken";"Clinics"
"Hermitage Amsterdam";"hermitage_amsterdam";1;286;;"0000-00-00 00:00:00";"Amstel 51 ";"1018 EJ";;"POINT(4.9025793878144 52.364806538847)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:36";"2016-09-08 17:43:36";"0000-00-00 00:00:00";"Musea";"Museums"
"Het Grachtenhuis";"het_grachtenhuis";1;286;;"0000-00-00 00:00:00";"Herengracht 386 ";"1016 CJ";;"POINT(4.8863949245574 52.367857923028)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:37";"2016-09-08 17:43:37";"0000-00-00 00:00:00";"Musea";"Museums"
"Gezondheidscentrum Nellestein";"gezondheidscentrum_nellestein";1;286;;"0000-00-00 00:00:00";"Liendenhof 114 ";"1108 HE";;"POINT(4.983894549015 52.309064012727)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:37";"2016-09-08 17:43:37";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"Het Klaverblad";"het_klaverblad";1;286;;"0000-00-00 00:00:00";"Alexander Dumaslaan 5 ";"1102 WD";;"POINT(4.9410986674843 52.323030168745)";;"AMSTERDAM ZUIDOOST";;;;;;;0;"2016-09-08 17:43:37";"2016-09-08 17:43:37";"0000-00-00 00:00:00";"Onderwijsinstellingen en scholen";"Educational institutions and schools"
"Het Muziektheater";"het_muziektheater";1;286;;"0000-00-00 00:00:00";"Amstel 3 ";"1011 PN";;"POINT(4.9007346811608 52.367009951645)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:38";"2016-09-08 17:43:38";"0000-00-00 00:00:00";"Theaters en concertgebouwen";"Theaters and concert halls"
"Het schouw  Huis van de buurt";"het_schouw_huis_van_de_buurt";1;286;;"0000-00-00 00:00:00";"Dollardplein 2 ";"1025 XJ";;"POINT(4.9427660931024 52.398254525612)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:38";"2016-09-08 17:43:38";"0000-00-00 00:00:00";"Wijkcentra en buurthuizen";"Neighborhood centers and community centers"
"Gezondheidscentrum Steigereiland";"gezondheidscentrum_steigereiland";1;286;;"0000-00-00 00:00:00";"Cornelis Zillesenlaan 2 ";"1086 ZK";;"POINT(4.9814004884656 52.362190929277)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:38";"2016-09-08 17:43:38";"0000-00-00 00:00:00";"Gezondheidscentra";"Health centers"
"HiziHair - IJburg";"hizihair_ijburg";1;286;;"0000-00-00 00:00:00";"Joris Ivensplein 52 ";"1087 BP";;"POINT(4.9907355938002 52.359121808416)";;"AMSTERDAM";;;;;;;0;"2016-09-08 17:43:39";"2016-09-08 17:43:39";"0000-00-00 00:00:00";"Uiterlijke verzorging";"Grooming"
